X,Y,OBJECTID,FECHA,Positivas,Negativas,TOTALES,XCOORD,YCOORD,Pruebas_dia,GlobalID
-80.7611105779217,8.43419567316357,33,2020/04/10 05:00:00+00,2974,10524,13648,526296.889053,932307.407911,1065,ce398292-d018-449a-a8ee-5f566f627ee9
-80.7611105779217,8.43419567316357,34,2020/04/11 05:00:00+00,3234,11126,14588,526296.889053,932307.407911,940,e7cc77cd-4ef0-4608-832c-fc5374343dd1
,,35,2020/04/12 05:00:00+00,3400,11585,15147,526296.889053,932307.407911,559,213c5bb0-24a2-459c-900f-111b026322ba
,,36,2020/04/13 09:00:00+00,3472,11925,15567,526296.889053,932307.407911,420,12283cdb-4d43-46aa-a075-71f69f8565c9
,,39,2020/04/14 05:00:00+00,3574,12309,16053,526296.889053,932307.407911,486,d1baa00d-8cfc-46d0-8280-438df4c684f0
,,40,2020/04/15 05:00:00+00,3751,12917,16854,526296.889053,932307.407911,801,5287a958-c5fa-4fda-94ef-0d274493faad
,,41,2020/04/16 23:00:00+00,4016,13614,17850,526296.889053,932307.407911,996,0bf654c7-e2ba-4827-b6a5-eb042b2e8622
,,42,2020/04/17 14:00:00+00,4210,14131,18559,526296.889053,932307.407911,709,9bced5f4-dec2-4ab8-871c-45d54684d3c5
,,43,2020/04/18 20:00:00+00,4273,14565,19091,526296.889053,932307.407911,532,f2ebe67d-4d03-4f88-80cb-bf7ed7c86bfd
,,44,2020/04/19 14:00:00+00,4467,15384,20137,526296.889053,932307.407911,1046,065fe08c-b0db-4ae7-ac09-4c8ededdf788
,,47,2020/04/20 05:00:00+00,4658,16023,20996,526296.889053,932307.407911,859,eba99d98-838b-486d-bb17-98b89b90695c
,,49,2020/04/21 20:00:00+00,4821,16731,21902,526296.889053,932307.407911,906,812c543f-2728-4839-b31c-ee1ad0595dd6
,,50,2020/04/22 22:00:00+00,4992,17710,22702,526296.889053,932307.407911,800,95a45e54-41b0-4d8a-94ef-f8a08e318fb6
,,51,2020/04/23 18:00:00+00,5166,17978,23534,526296.889053,932307.407911,832,59262844-40e0-4366-aec3-5d4f04768c1d
,,53,2020/04/24 18:00:00+00,5338,18565,24304,526296.889053,932307.407911,770,4b02298a-5a08-483c-aef6-cff8007c293f
,,54,2020/04/25 20:24:16.349+00,5538,19386,25400,526296.889053,932307.407911,1096,39e0cfe2-6630-4523-a909-5430951571e5
,,55,2020/04/26 19:23:19.472+00,5779,20344,26642,526296.889053,932307.407911,1242,4d489e38-380b-4a24-a6a6-cf1fc5d6d83e
,,56,2020/04/27 19:36:33.860+00,6021,21200,27834,526296.889053,932307.407911,1192,0108726f-fc82-4f1c-be77-02b6d5512117
,,57,2020/04/28 20:47:13.188+00,6200,21934,28795,526296.889053,932307.407911,961,2a5d27b9-9d9e-4ad7-919d-fe80ca2c1eaa
,,58,2020/04/29 19:59:53.477+00,6378,22767,29837,526296.889053,932307.407911,1042,8551989a-3f1c-46a9-9b2b-9e1ca646a9c8
,,59,2020/04/30 18:40:54.033+00,6532,23497,30749,526296.889053,932307.407911,912,f1c4e904-c17f-41db-b21b-58709ddc2d27
,,60,2020/05/01 19:09:05.893+00,6720,24357,31895,526296.889053,932307.407911,1146,86ecdca7-de60-41e3-b824-15ba63037284
,,61,2020/05/02 20:13:20.215+00,7090,25454,33354,526296.889053,932307.407911,1459,28e0e49f-0e29-4a33-9cd1-a227c36a1d02
,,62,2020/05/03 20:49:26.581+00,7196,26344,34459,526296.889053,932307.407911,1105,114f7ba5-4877-4858-b4ef-696504f8ab08
,,63,2020/05/04 19:35:08.614+00,7387,27145,35556,526296.889053,932307.407911,1097,50e67747-fb96-40de-a832-faea6f2bdacb
,,64,2020/05/05 20:00:33.560+00,7523,27924,36483,526296.889053,932307.407911,927,e9715ca6-a06c-43d8-8e0c-26a6a476c852
,,65,2020/05/06 18:40:50.840+00,7731,29128,38014,526296.889053,932307.407911,1531,176ad703-b89c-489e-bb9b-86e781d65872
,,66,2020/05/07 19:14:06.299+00,7868,30035,39093,526296.889053,932307.407911,1079,0001f278-00b6-47d1-998f-40b2750f15a9
,,67,2020/05/08 20:00:34.537+00,8070,31030,40356,526296.889053,932307.407911,1263,dc12422b-9d25-428d-a2af-66c3a9a51aba
,,68,2020/05/09 19:24:57.546+00,8282,32083,41649,526296.889053,932307.407911,1284,acf4c96d-214d-447c-b0f1-e13bb599aeac
,,70,2020/05/10 19:31:46.366+00,8448,32744,42657,526296.889053,932307.407911,1008,64f969a7-659e-4b37-97c7-9a4eb67bb3b9
